Date,Price,Open,High,Low,Vol.,Change %
2020-08-12,"27,976.84","27,860.24","28,043.89","27,843.32",342.07M,1.05%
2020-08-13,"27,896.72","27,922.51","27,986.10","27,789.78",364.41M,-0.29%
2020-08-14,"27,931.02","27,828.93","27,977.81","27,759.39",276.73M,0.12%
2020-08-17,"27,844.91","27,970.05","27,999.81","27,816.40",291.99M,-0.31%
2020-08-18,"27,778.07","27,853.48","27,891.12","27,668.79",277.12M,-0.24%
2020-08-19,"27,692.88","27,811.26","27,920.42","27,647.67",312.95M,-0.31%
2020-08-20,"27,739.73","27,622.68","27,781.46","27,526.25",306.05M,0.17%
2020-08-21,"27,930.33","27,758.13","27,959.48","27,686.78",374.34M,0.69%
2020-08-24,"28,308.46","28,077.58","28,314.94","28,041.75",385.44M,1.35%
2020-08-25,"28,248.44","28,347.42","28,400.74","28,094.57",341.13M,-0.21%
2020-08-26,"28,331.92","28,257.88","28,353.80","28,153.91",328.80M,0.30%
2020-08-27,"28,492.27","28,384.07","28,634.22","28,363.93",405.09M,0.57%
2020-08-28,"28,653.87","28,601.29","28,733.35","28,487.98",373.80M,0.57%
2020-08-31,"28,430.05","28,643.66","28,643.66","28,363.55",519.82M,-0.78%
2020-09-01,"28,645.66","28,439.61","28,659.26","28,290.72",428.66M,0.76%
2020-09-02,"29,100.50","28,736.79","29,162.88","28,713.53",542.54M,1.59%
2020-09-03,"28,292.73","29,090.70","29,199.35","28,074.76",658.29M,-2.78%
2020-09-04,"28,133.31","28,341.05","28,539.75","27,664.68",700.49M,-0.56%
2020-09-08,"27,500.89","27,925.23","27,925.23","27,464.90",587.16M,-2.25%
2020-09-09,"27,940.47","27,711.71","28,206.21","27,704.54",467.06M,1.60%
2020-09-10,"27,534.58","28,022.51","28,174.78","27,447.08",447.59M,-1.45%
2020-09-11,"27,665.64","27,613.86","27,828.82","27,448.15",437.53M,0.48%
2020-09-14,"27,993.33","27,718.74","28,086.06","27,718.74",384.09M,1.18%
2020-09-15,"27,995.60","28,139.76","28,231.06","27,931.45",418.89M,0.01%
2020-09-16,"28,032.38","28,031.69","28,364.77","28,021.67",416.65M,0.13%
2020-09-17,"27,901.98","27,834.18","28,056.79","27,647.93",439.89M,-0.47%
2020-09-18,"27,657.42","27,864.87","27,946.69","27,487.97",703.89M,-0.88%
2020-09-21,"27,147.70","27,484.71","27,484.71","26,715.15",523.66M,-1.84%
2020-09-22,"27,288.18","27,170.34","27,333.09","26,989.93",423.33M,0.52%
2020-09-23,"26,763.13","27,413.60","27,464.46","26,716.12",463.20M,-1.92%
2020-09-24,"26,815.44","26,716.09","27,094.85","26,537.01",448.78M,0.20%
2020-09-25,"27,173.96","26,694.51","27,239.29","26,635.38",391.73M,1.34%
2020-09-28,"27,584.06","27,362.14","27,722.60","27,362.14",405.06M,1.51%
2020-09-29,"27,452.66","27,560.24","27,605.60","27,338.09",306.70M,-0.48%
2020-09-30,"27,781.70","27,514.64","28,026.33","27,511.06",455.15M,1.20%
2020-10-01,"27,816.90","27,940.63","28,041.46","27,669.26",375.65M,0.13%
2020-10-02,"27,682.81","27,536.39","27,861.43","27,382.94",395.82M,-0.48%
2020-10-05,"28,148.64","27,825.42","28,162.64","27,825.42",322.53M,1.68%
2020-10-06,"27,772.76","28,214.24","28,354.48","27,728.03",438.44M,-1.34%
2020-10-07,"28,303.46","27,971.36","28,369.66","27,971.36",330.19M,1.91%
2020-10-08,"28,425.51","28,348.86","28,459.13","28,265.56",315.83M,0.43%
2020-10-09,"28,586.90","28,533.61","28,676.29","28,440.63",326.48M,0.57%
2020-10-12,"28,837.52","28,671.12","28,957.90","28,659.67",493.68M,0.88%
2020-10-13,"28,679.81","28,764.95","28,808.84","28,604.35",528.27M,-0.55%
2020-10-14,"28,514.00","28,731.30","28,792.56","28,461.73",372.48M,-0.58%
2020-10-15,"28,494.20","28,323.40","28,535.85","28,181.54",330.13M,-0.07%
2020-10-16,"28,606.31","28,570.72","28,842.90","28,570.72",358.95M,0.39%
2020-10-19,"28,195.42","28,633.55","28,711.93","28,139.40",360.92M,-1.44%
2020-10-20,"28,308.79","28,245.85","28,575.03","28,243.04",351.45M,0.40%
2020-10-21,"28,210.82","28,270.66","28,450.64","28,196.39",301.11M,-0.35%
2020-10-22,"28,363.66","28,197.42","28,421.31","28,040.18",334.39M,0.54%
2020-10-23,"28,335.57","28,409.65","28,436.52","28,149.82",350.10M,-0.10%
2020-10-26,"27,685.38","28,185.82","28,185.82","27,370.16",407.04M,-2.29%
2020-10-27,"27,463.19","27,651.18","27,707.69","27,457.96",372.48M,-0.80%
2020-10-28,"26,519.95","27,102.14","27,102.14","26,497.39",499.63M,-3.43%
2020-10-29,"26,659.11","26,480.98","26,891.89","26,290.78",434.01M,0.52%
2020-10-30,"26,501.60","26,572.27","26,639.18","26,143.77",506.32M,-0.59%
2020-11-02,"26,925.05","26,691.28","27,043.48","26,691.28",382.27M,1.60%
2020-11-03,"27,480.03","27,138.69","27,640.21","27,138.69",353.35M,2.06%
2020-11-04,"27,847.66","27,512.83","28,301.50","27,512.83",449.89M,1.34%
2020-11-05,"28,390.18","28,083.37","28,495.05","28,083.37",391.73M,1.95%
2020-11-06,"28,323.40","28,399.13","28,431.96","28,189.50",328.58M,-0.24%
2020-11-09,"29,157.97","29,467.90","29,933.83","29,130.66",680.57M,2.95%
2020-11-10,"29,420.92","29,254.17","29,478.86","29,126.99",526.98M,0.90%
2020-11-11,"29,397.63","29,524.35","29,593.11","29,281.22",376.70M,-0.08%
2020-11-12,"29,080.17","29,231.91","29,311.83","28,902.13",372.87M,-1.08%
2020-11-13,"29,479.81","29,203.90","29,559.25","29,203.90",348.81M,1.37%
2020-11-16,"29,950.44","29,672.36","29,964.29","29,672.36",420.76M,1.60%
2020-11-17,"29,783.35","29,800.15","29,872.42","29,520.29",376.14M,-0.56%
2020-11-18,"29,438.42","29,875.40","29,930.85","29,432.84",384.89M,-1.16%
2020-11-19,"29,483.23","29,370.92","29,524.90","29,228.38",333.16M,0.15%
2020-11-20,"29,263.48","29,437.57","29,469.89","29,231.20",308.74M,-0.75%
2020-11-23,"29,591.27","29,332.82","29,667.75","29,332.82",389.02M,1.12%
2020-11-24,"30,046.24","29,746.11","30,116.51","29,746.11",436.45M,1.54%
2020-11-25,"29,872.47","30,058.87","30,058.87","29,806.25",324.19M,-0.58%
2020-11-27,"29,910.37","29,911.33","30,015.13","29,819.98",178.10M,0.13%
2020-11-30,"29,638.64","29,854.51","29,854.51","29,463.64",561.21M,-0.91%
2020-12-01,"29,823.92","29,797.50","30,083.31","29,797.50",435.44M,0.63%
2020-12-02,"29,883.79","29,695.09","29,902.51","29,599.29",389.33M,0.20%
2020-12-03,"29,969.52","29,920.83","30,110.88","29,877.27",408.41M,0.29%
2020-12-04,"30,218.26","29,989.56","30,218.26","29,989.56",363.09M,0.83%
2020-12-07,"30,069.79","30,233.03","30,233.03","29,967.22",370.58M,-0.49%
2020-12-08,"30,173.88","29,997.95","30,246.22","29,972.07",314.83M,0.35%
2020-12-09,"30,068.81","30,229.81","30,319.70","29,951.85",383.74M,-0.35%
2020-12-10,"29,999.26","30,032.55","30,063.87","29,876.82",326.93M,-0.23%
2020-12-11,"30,046.37","29,988.21","30,071.13","29,820.84",396.01M,0.16%
2020-12-14,"29,861.55","30,123.91","30,325.79","29,849.15",371.98M,-0.62%
2020-12-15,"30,199.31","29,919.09","30,243.26","29,894.95",419.48M,1.13%
2020-12-16,"30,154.54","30,191.38","30,236.03","30,080.11",349.54M,-0.15%
2020-12-17,"30,303.37","30,216.00","30,323.78","30,216.00",345.53M,0.49%
2020-12-18,"30,179.05","30,314.26","30,343.59","30,029.44",798.23M,-0.41%
2020-12-21,"30,216.45","30,159.00","30,304.14","29,755.53",445.69M,0.12%
2020-12-22,"30,015.51","30,200.20","30,200.20","29,992.89",392.52M,-0.67%
2020-12-23,"30,129.83","30,046.73","30,292.53","30,046.73",275.38M,0.38%
2020-12-24,"30,199.87","30,155.92","30,209.67","30,099.30",146.44M,0.23%
2020-12-28,"30,403.97","30,283.23","30,525.56","30,283.23",303.08M,0.68%
2020-12-29,"30,335.67","30,492.07","30,588.79","30,274.24",358.87M,-0.22%
2020-12-30,"30,409.56","30,415.09","30,525.35","30,393.04",296.14M,0.24%
2020-12-31,"30,606.48","30,417.64","30,637.47","30,344.50",287.06M,0.65%
2021-01-04,"30,223.89","30,627.47","30,674.28","29,881.82",476.73M,-1.25%
2021-01-05,"30,391.60","30,204.25","30,504.89","30,141.78",350.91M,0.55%
2021-01-06,"30,829.40","30,362.78","31,022.65","30,313.07",500.43M,1.44%
2021-01-07,"31,041.13","30,901.18","31,193.40","30,897.86",430.62M,0.69%
2021-01-08,"31,097.97","31,069.58","31,140.67","30,793.27",385.65M,0.18%
2021-01-11,"31,008.69","31,015.37","31,096.98","30,832.06",363.79M,-0.29%
2021-01-12,"31,068.69","31,015.01","31,114.56","30,888.76",362.87M,0.19%
2021-01-13,"31,060.47","31,084.88","31,153.37","30,992.05",415.14M,-0.03%
2021-01-14,"30,991.52","31,085.67","31,223.78","30,982.24",429.70M,-0.22%
2021-01-15,"30,814.26","30,926.77","30,941.98","30,612.67",440.02M,-0.57%
2021-01-19,"30,930.52","30,887.42","31,086.62","30,865.03",387.75M,0.38%
2021-01-20,"31,188.38","31,017.54","31,235.98","30,997.79",384.98M,0.83%
2021-01-21,"31,176.01","31,198.01","31,272.22","31,120.92",423.15M,-0.04%
2021-01-22,"30,996.98","31,141.56","31,141.56","30,908.47",436.04M,-0.57%
2021-01-25,"30,960.00","30,989.85","30,989.85","30,564.06",477.35M,-0.12%
2021-01-26,"30,937.04","30,968.55","31,121.42","30,921.71",381.87M,-0.07%
2021-01-27,"30,303.17","30,893.78","30,893.78","30,206.91",566.47M,-2.05%
2021-01-28,"30,603.36","30,377.19","30,951.41","30,377.19",467.34M,0.99%
2021-01-29,"29,982.62","30,553.91","30,553.91","29,856.30",538.04M,-2.03%
2021-02-01,"30,211.91","30,054.73","30,335.91","30,014.97",350.24M,0.76%
2021-02-02,"30,687.48","30,276.88","30,840.54","30,276.88",338.17M,1.57%
2021-02-03,"30,723.60","30,689.65","30,793.41","30,521.31",307.31M,0.12%
2021-02-04,"31,055.86","30,737.78","31,065.96","30,737.78",341.49M,1.08%
2021-02-05,"31,148.24","31,093.81","31,252.18","31,083.22",295.00M,0.30%
2021-02-08,"31,385.76","31,191.20","31,386.10","31,191.20",328.41M,0.76%
2021-02-09,"31,375.83","31,359.88","31,439.47","31,245.86",310.14M,-0.03%
2021-02-10,"31,437.80","31,428.02","31,511.44","31,221.32",328.39M,0.20%
2021-02-11,"31,430.70","31,466.49","31,543.82","31,244.36",284.68M,-0.02%
2021-02-12,"31,458.40","31,420.80","31,475.31","31,347.80",266.37M,0.09%
2021-02-16,"31,522.75","31,472.08","31,608.63","31,443.48",336.99M,0.20%
2021-02-17,"31,613.02","31,485.61","31,643.70","31,338.76",345.86M,0.29%
2021-02-18,"31,493.34","31,558.60","31,558.60","31,285.32",325.99M,-0.38%
2021-02-19,"31,494.32","31,504.13","31,647.53","31,469.34",353.07M,0.00%
2021-02-22,"31,521.69","31,381.12","31,653.48","31,286.57",389.68M,0.09%
2021-02-23,"31,537.35","31,501.89","31,653.38","31,158.76",461.92M,0.05%
2021-02-24,"31,961.86","31,499.75","32,009.64","31,421.29",413.35M,1.35%
2021-02-25,"31,402.01","31,955.94","31,984.77","31,293.32",458.96M,-1.75%
2021-02-26,"30,932.37","31,401.29","31,450.89","30,911.37",538.91M,-1.50%
2021-03-01,"31,535.51","31,065.90","31,668.34","31,065.90",387.58M,1.95%
2021-03-02,"31,391.52","31,535.37","31,623.27","31,377.16",341.28M,-0.46%
2021-03-03,"31,270.09","31,352.96","31,563.31","31,260.14",411.61M,-0.39%
2021-03-04,"30,924.14","31,289.01","31,461.97","30,547.53",551.23M,-1.11%
2021-03-05,"31,496.30","31,029.18","31,580.33","30,766.81",505.35M,1.85%
2021-03-08,"31,802.44","31,512.15","32,148.04","31,512.15",499.58M,0.97%
2021-03-09,"31,832.74","31,892.35","32,150.32","31,822.64",463.74M,0.10%
2021-03-10,"32,297.02","31,906.96","32,389.50","31,906.96",410.23M,1.46%
2021-03-11,"32,485.59","32,354.50","32,661.59","32,345.70",402.40M,0.58%
2021-03-12,"32,778.64","32,462.40","32,793.32","32,462.40",348.29M,0.90%
2021-03-15,"32,953.46","32,798.84","32,973.40","32,629.75",362.08M,0.53%
2021-03-16,"32,825.95","32,966.75","32,966.75","32,778.23",387.91M,-0.39%
2021-03-17,"33,015.37","32,825.52","33,047.58","32,782.18",391.81M,0.58%
2021-03-18,"32,862.30","32,928.16","33,227.78","32,831.25",421.02M,-0.46%
2021-03-19,"32,627.97","32,858.36","32,858.36","32,505.07",847.02M,-0.71%
2021-03-22,"32,731.20","32,601.82","32,810.35","32,512.53",384.32M,0.32%
2021-03-23,"32,423.15","32,691.50","32,753.77","32,356.28",388.13M,-0.94%
2021-03-24,"32,420.06","32,470.88","32,787.99","32,418.15",405.06M,-0.01%
2021-03-25,"32,619.48","32,346.81","32,672.69","32,071.41",413.49M,0.62%
2021-03-26,"33,072.88","32,681.07","33,098.83","32,681.07",383.45M,1.39%
2021-03-29,"33,171.37","33,087.55","33,259.00","32,905.13",351.61M,0.30%
2021-03-30,"33,066.96","33,127.88","33,170.93","32,988.92",309.57M,-0.31%
2021-03-31,"32,981.55","33,116.04","33,173.77","32,980.57",418.64M,-0.26%
2021-04-01,"33,153.21","33,054.58","33,167.17","32,985.35",318.34M,0.52%
2021-04-05,"33,527.19","33,222.38","33,617.95","33,222.38",345.15M,1.13%
2021-04-06,"33,430.24","33,500.02","33,544.79","33,380.43",298.31M,-0.29%
2021-04-07,"33,446.26","33,444.98","33,521.76","33,347.96",279.88M,0.05%
2021-04-08,"33,503.57","33,469.89","33,506.80","33,342.64",306.19M,0.17%
2021-04-09,"33,800.60","33,526.19","33,810.87","33,526.19",317.82M,0.89%
2021-04-12,"33,745.40","33,775.06","33,786.19","33,665.54",329.02M,-0.16%
2021-04-13,"33,677.27","33,721.16","33,741.64","33,545.84",330.00M,-0.20%
2021-04-14,"33,730.89","33,668.95","33,911.25","33,668.95",318.67M,0.16%
2021-04-15,"34,035.99","33,788.53","34,068.73","33,788.53",321.83M,0.90%
2021-04-16,"34,200.67","34,058.16","34,256.75","34,058.16",348.18M,0.48%
2021-04-19,"34,077.63","34,182.38","34,182.38","33,980.56",315.62M,-0.36%
2021-04-20,"33,821.30","34,034.18","34,034.18","33,687.01",354.20M,-0.75%
2021-04-21,"34,137.31","33,808.30","34,160.34","33,773.80",293.51M,0.93%
2021-04-22,"33,815.90","34,109.88","34,126.57","33,717.19",346.58M,-0.94%
2021-04-23,"34,043.49","33,804.52","34,157.57","33,713.29",349.67M,0.67%
2021-04-26,"33,981.57","34,044.23","34,148.94","33,941.37",285.41M,-0.18%
2021-04-27,"33,984.93","33,932.13","34,043.98","33,870.46",294.95M,0.01%
2021-04-28,"33,820.38","33,860.46","33,946.60","33,805.56",353.02M,-0.48%
2021-04-29,"34,060.36","33,855.64","34,087.21","33,744.28",409.60M,0.71%
2021-04-30,"33,874.85","33,988.75","33,988.75","33,784.96",376.11M,-0.54%
2021-05-03,"34,113.23","33,904.89","34,221.06","33,904.89",291.34M,0.70%
2021-05-04,"34,133.03","34,080.20","34,147.78","33,765.68",410.17M,0.06%
2021-05-05,"34,230.34","34,163.99","34,331.20","34,039.66",255.81M,0.29%
2021-05-06,"34,548.53","34,245.11","34,561.29","34,185.06",317.12M,0.93%
2021-05-07,"34,777.76","34,578.27","34,811.39","34,464.31",311.63M,0.66%
2021-05-10,"34,742.82","34,785.27","35,091.56","34,741.57",370.04M,-0.10%
2021-05-11,"34,269.16","34,572.74","34,572.74","34,075.31",413.18M,-1.36%
2021-05-12,"33,587.66","34,206.40","34,207.87","33,555.22",383.58M,-1.99%
2021-05-13,"34,021.45","33,624.74","34,181.77","33,623.49",352.81M,1.29%
2021-05-14,"34,382.13","34,050.86","34,454.05","34,050.86",307.38M,1.06%
2021-05-17,"34,327.79","34,375.29","34,383.84","34,176.65",293.36M,-0.16%
2021-05-18,"34,060.66","34,351.18","34,408.99","34,044.10",301.78M,-0.78%
2021-05-19,"33,896.04","33,945.81","33,945.81","33,473.80",354.00M,-0.48%
2021-05-20,"34,084.15","33,906.30","34,233.40","33,872.41",324.40M,0.55%
2021-05-21,"34,207.84","34,121.91","34,415.48","34,121.91",308.84M,0.36%
2021-05-24,"34,393.98","34,253.87","34,472.51","34,253.87",251.81M,0.54%
2021-05-25,"34,312.46","34,428.66","34,511.35","34,266.03",289.95M,-0.24%
2021-05-26,"34,323.05","34,336.34","34,409.59","34,271.44",259.81M,0.03%
2021-05-27,"34,464.64","34,432.47","34,608.82","34,389.24",520.63M,0.41%
2021-05-28,"34,529.45","34,558.50","34,631.11","34,520.09",290.85M,0.19%
2021-06-01,"34,575.31","34,584.19","34,849.32","34,542.87",294.79M,0.13%
2021-06-02,"34,600.38","34,614.62","34,706.65","34,545.96",265.16M,0.07%
2021-06-03,"34,577.04","34,550.31","34,667.41","34,334.41",299.74M,-0.07%
2021-06-04,"34,756.39","34,618.69","34,772.12","34,618.69",271.56M,0.52%
2021-06-07,"34,630.24","34,766.20","34,820.91","34,574.51",259.44M,-0.36%
2021-06-08,"34,599.82","34,645.84","34,665.38","34,452.94",296.09M,-0.09%
2021-06-09,"34,447.14","34,626.16","34,654.67","34,439.37",246.54M,-0.44%
2021-06-10,"34,466.24","34,502.51","34,737.79","34,447.25",310.88M,0.06%
2021-06-11,"34,479.60","34,499.81","34,618.09","34,328.65",262.62M,0.04%
2021-06-14,"34,393.75","34,472.52","34,472.52","34,211.54",302.55M,-0.25%
2021-06-15,"34,299.33","34,397.10","34,420.38","34,199.16",274.13M,-0.27%
2021-06-16,"34,033.67","34,308.48","34,333.25","33,917.11",348.03M,-0.77%
2021-06-17,"33,823.45","34,014.38","34,091.79","33,626.61",355.92M,-0.62%
2021-06-18,"33,290.08","33,622.70","33,622.70","33,271.93",569.38M,-1.58%
2021-06-21,"33,876.97","33,312.07","33,908.09","33,312.07",324.44M,1.76%
2021-06-22,"33,945.58","33,872.56","34,040.70","33,751.06",285.33M,0.20%
2021-06-23,"33,874.24","33,948.54","34,009.40","33,869.83",257.05M,-0.21%
2021-06-24,"34,196.82","33,933.91","34,233.02","33,933.91",279.38M,0.95%
2021-06-25,"34,433.84","34,328.10","34,501.02","34,314.80",456.03M,0.69%
2021-06-28,"34,283.27","34,428.10","34,449.65","34,186.13",281.29M,-0.44%
2021-06-29,"34,292.29","34,338.89","34,469.83","34,266.83",288.65M,0.03%
2021-06-30,"34,502.51","34,290.74","34,553.16","34,245.48",298.63M,0.61%
2021-07-01,"34,633.53","34,507.32","34,640.28","34,498.85",269.31M,0.38%
2021-07-02,"34,786.35","34,642.42","34,821.93","34,613.49",303.06M,0.44%
2021-07-06,"34,577.37","34,790.16","34,814.20","34,358.42",348.43M,-0.60%
2021-07-07,"34,681.79","34,604.17","34,708.78","34,435.59",305.38M,0.30%
2021-07-08,"34,421.93","34,569.01","34,569.01","34,145.59",335.76M,-0.75%
2021-07-09,"34,870.16","34,457.51","34,893.72","34,457.51",301.75M,1.30%
2021-07-12,"34,996.18","34,836.75","35,014.90","34,730.15",302.28M,0.36%
2021-07-13,"34,888.79","34,959.96","35,018.79","34,876.89",323.68M,-0.31%
2021-07-14,"34,933.23","34,920.83","35,069.18","34,826.87",348.66M,0.13%
2021-07-15,"34,987.02","34,924.81","34,990.41","34,762.87",320.45M,0.15%
2021-07-16,"34,687.85","35,007.94","35,090.01","34,647.82",328.98M,-0.86%
2021-07-19,"33,962.04","34,528.48","34,528.48","33,741.76",450.16M,-2.09%
2021-07-20,"34,511.99","33,981.79","34,621.79","33,981.79",388.08M,1.62%
2021-07-21,"34,798.00","34,556.96","34,820.24","34,556.96",327.19M,0.83%
2021-07-22,"34,823.35","34,799.68","34,879.28","34,673.03",294.65M,0.07%
2021-07-23,"35,061.55","34,855.11","35,095.33","34,855.11",315.06M,0.68%
2021-07-26,"35,144.31","35,055.86","35,150.37","34,950.19",264.80M,0.24%
2021-07-27,"35,058.52","35,078.90","35,078.90","34,878.07",335.25M,-0.24%
2021-07-28,"34,930.93","35,109.95","35,116.37","34,876.84",347.17M,-0.36%
2021-07-29,"35,084.53","34,985.99","35,171.52","34,985.99",223.67M,0.44%
2021-07-30,"34,935.47","35,013.26","35,106.30","34,871.13",281.14M,-0.42%
2021-08-02,"34,838.16","34,968.56","35,192.11","34,808.20",244.89M,-0.28%
2021-08-03,"35,116.40","34,864.10","35,120.94","34,714.33",259.82M,0.80%
2021-08-04,"34,792.67","35,047.44","35,047.44","34,790.62",245.30M,-0.92%
2021-08-05,"35,064.25","34,815.61","35,067.54","34,815.61",217.39M,0.78%
2021-08-06,"35,208.51","35,077.44","35,246.79","35,077.44",231.57M,0.41%
2021-08-09,"35,101.85","35,229.67","35,229.67","35,041.24",207.85M,-0.30%
2021-08-10,"35,264.67","35,135.17","35,285.16","35,091.91",255.24M,0.46%
2021-08-11,"35,484.97","35,300.89","35,501.16","35,300.89",233.04M,0.62%
2021-08-12,"35,499.85","35,481.94","35,510.77","35,352.53",236.16M,0.04%
2021-08-13,"35,515.38","35,551.56","35,610.57","35,474.78",238.68M,0.04%
2021-08-16,"35,625.40","35,490.83","35,631.19","35,231.87",294.01M,0.31%
2021-08-17,"35,343.28","35,500.01","35,500.01","35,120.31",310.15M,-0.79%
2021-08-18,"34,960.69","35,310.20","35,356.80","34,943.41",291.06M,-1.08%
2021-08-19,"34,894.12","34,874.67","34,997.81","34,690.25",335.05M,-0.19%
2021-08-20,"35,120.08","34,917.96","35,177.26","34,867.07",269.55M,0.65%
2021-08-23,"35,335.71","35,160.97","35,428.91","35,160.97",250.96M,0.61%
2021-08-24,"35,366.26","35,382.72","35,445.47","35,356.18",230.48M,0.09%
2021-08-25,"35,405.50","35,388.77","35,501.14","35,287.63",239.71M,0.11%
2021-08-26,"35,213.12","35,449.68","35,498.45","35,205.10",239.93M,-0.54%
2021-08-27,"35,455.80","35,231.11","35,479.18","35,231.11",242.14M,0.69%
2021-08-30,"35,399.84","35,471.80","35,510.71","35,374.46",246.81M,-0.16%
2021-08-31,"35,360.73","35,391.38","35,449.79","35,289.86",337.24M,-0.11%
2021-09-01,"35,312.53","35,387.55","35,407.37","35,287.05",266.57M,-0.14%
2021-09-02,"35,443.82","35,353.06","35,475.40","35,348.48",265.18M,0.37%
2021-09-03,"35,369.09","35,401.73","35,422.71","35,269.40",223.39M,-0.21%
2021-09-07,"35,100.00","35,373.24","35,373.24","35,060.90",290.73M,-0.76%
2021-09-08,"35,031.07","35,087.45","35,175.15","34,925.61",261.88M,-0.20%
2021-09-09,"34,879.38","35,013.08","35,199.89","34,847.30",262.38M,-0.43%
2021-09-10,"34,607.72","34,949.59","35,104.25","34,599.61",333.23M,-0.78%
2021-09-13,"34,869.63","34,665.50","34,939.10","34,665.50",334.19M,0.76%
2021-09-14,"34,577.57","34,906.90","34,990.36","34,510.30",329.18M,-0.84%
2021-09-15,"34,814.39","34,580.95","34,880.77","34,522.03",324.98M,0.68%
2021-09-16,"34,751.32","34,810.27","34,943.55","34,540.11",279.31M,-0.18%
2021-09-17,"34,584.88","34,737.86","34,779.86","34,519.63",577.97M,-0.48%
2021-09-20,"33,970.47","34,459.72","34,459.72","33,613.03",441.65M,-1.78%
2021-09-21,"33,919.84","34,025.61","34,313.88","33,914.02",307.98M,-0.15%
2021-09-22,"34,258.32","34,006.87","34,440.42","34,006.87",300.08M,1.00%
2021-09-23,"34,764.82","34,296.30","34,879.78","34,296.30",285.87M,1.48%
2021-09-24,"34,798.00","34,762.31","34,857.06","34,648.08",256.58M,0.10%
2021-09-27,"34,869.37","34,739.27","35,061.12","34,739.27",292.80M,0.21%
2021-09-28,"34,299.99","34,747.70","34,798.21","34,254.65",380.22M,-1.63%
2021-09-29,"34,390.72","34,360.08","34,580.42","34,305.96",291.04M,0.26%
2021-09-30,"33,843.92","34,467.98","34,557.37","33,833.32",356.20M,-1.59%
2021-10-01,"34,326.46","33,930.70","34,490.56","33,785.54",429.16M,1.43%
2021-10-04,"34,002.92","34,312.96","34,410.28","33,821.58",400.19M,-0.94%
2021-10-05,"34,314.67","34,035.25","34,490.95","34,035.25",312.43M,0.92%
2021-10-06,"34,416.99","34,198.96","34,432.68","33,854.69",323.37M,0.30%
2021-10-07,"34,754.94","34,509.72","34,975.19","34,509.72",277.05M,0.98%
2021-10-08,"34,746.25","34,757.57","34,842.62","34,661.95",238.08M,-0.03%
2021-10-11,"34,496.06","34,723.79","34,951.35","34,486.51",256.82M,-0.72%
2021-10-12,"34,378.34","34,507.15","34,611.24","34,318.94",322.03M,-0.34%
2021-10-13,"34,377.81","34,372.71","34,449.83","34,115.10",319.45M,0.00%
2021-10-14,"34,912.56","34,443.22","34,923.83","34,443.22",338.54M,1.56%
2021-10-15,"35,294.76","35,023.63","35,320.97","35,023.63",327.87M,1.09%
2021-10-18,"35,258.61","35,221.02","35,327.57","35,035.94",323.09M,-0.10%
2021-10-19,"35,457.31","35,325.37","35,462.68","35,290.12",281.26M,0.56%
2021-10-20,"35,609.34","35,475.16","35,669.69","35,465.71",267.33M,0.43%
2021-10-21,"35,603.08","35,520.32","35,612.36","35,442.53",302.12M,-0.02%
2021-10-22,"35,677.02","35,607.72","35,765.02","35,533.95",349.08M,0.21%
2021-10-25,"35,741.15","35,692.62","35,787.04","35,629.37",270.41M,0.18%
2021-10-26,"35,756.88","35,791.05","35,892.92","35,734.73",321.91M,0.04%
2021-10-27,"35,490.69","35,835.43","35,835.43","35,490.43",358.08M,-0.74%
2021-10-28,"35,730.48","35,545.41","35,742.25","35,545.41",348.43M,0.68%
2021-10-29,"35,819.56","35,712.28","35,852.53","35,633.20",407.99M,0.25%
2021-11-01,"35,913.84","35,833.65","36,009.74","35,797.97",295.48M,0.26%
2021-11-02,"36,052.63","35,935.11","36,088.81","35,884.13",304.51M,0.39%
2021-11-03,"36,157.58","36,059.09","36,178.51","35,891.73",262.54M,0.29%
2021-11-04,"36,124.23","36,107.46","36,168.03","35,986.48",309.99M,-0.09%
2021-11-05,"36,327.95","36,268.75","36,484.75","36,190.20",344.60M,0.56%
2021-11-08,"36,432.22","36,416.46","36,565.73","36,334.42",288.40M,0.29%
2021-11-09,"36,319.98","36,404.53","36,416.98","36,173.07",258.02M,-0.31%
2021-11-10,"36,079.94","36,299.25","36,346.61","36,009.50",283.52M,-0.66%
2021-11-11,"35,921.23","36,038.78","36,108.17","35,915.27",270.32M,-0.44%
2021-11-12,"36,100.31","35,963.78","36,147.63","35,934.59",293.18M,0.50%
2021-11-15,"36,087.45","36,128.83","36,236.07","36,031.78",280.66M,-0.04%
2021-11-16,"36,142.22","36,076.18","36,316.61","36,076.18",311.90M,0.15%
2021-11-17,"35,931.05","36,159.70","36,159.70","35,909.48",358.31M,-0.58%
2021-11-18,"35,870.95","35,901.69","35,952.63","35,654.39",435.08M,-0.17%
2021-11-19,"35,601.98","35,879.09","35,879.09","35,555.37",414.65M,-0.75%
2021-11-22,"35,619.25","35,631.41","35,929.66","35,615.55",420.81M,0.05%
2021-11-23,"35,813.80","35,619.92","35,841.52","35,542.87",392.52M,0.55%
2021-11-24,"35,804.38","35,752.31","35,825.47","35,591.03",287.94M,-0.03%
2021-11-26,"34,899.34","35,366.69","35,366.69","34,749.80",325.39M,-2.53%
2021-11-29,"35,135.94","35,017.71","35,287.91","34,895.89",416.04M,0.68%
2021-11-30,"34,483.72","35,056.99","35,056.99","34,424.44",678.80M,-1.86%
